Month,Race/Ethnicity,gender,residency,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2021-02,BLACK,MALE,,CITATION/SUMMONS,0,0,1,0,0,2
2021-02,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,1,0
2021-02,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2021-02,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-03,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-03,BLACK,MALE,,WARNING ISSUED,0,0,0,0,0,3
2021-03,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-03,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-04,LATINO,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2021-04,LATINO,MALE,,WARNING ISSUED,0,0,0,1,0,0
2021-05,BLACK,MALE,,CITATION/SUMMONS,1,0,0,0,0,1
2021-05,BLACK,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-05,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-05,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-05,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-05,WHITE,MALE,,NO ENFORCEMENT ACTION,1,0,0,0,0,0
2021-05,WHITE,MALE,,WARNING ISSUED,0,0,0,0,1,2
2021-06,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,3
2021-06,LATINO,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2021-06,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,3
2021-06,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-06,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-07,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,4
2021-07,BLACK,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-07,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,1,0
2021-07,LATINO,MALE,,WARNING ISSUED,1,0,0,0,0,0
2021-07,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-07,WHITE,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2021-07,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,2
2021-08,BLACK,MALE,,CITATION/SUMMONS,1,0,0,0,1,0
2021-08,LATINO,MALE,,CITATION/SUMMONS,0,0,1,0,0,1
2021-09,BLACK,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2021-09,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-09,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-09,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-10,ASIAN/PACIFIC ISLANDER,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2021-10,BLACK,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-10,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-10,UNKNOWN,FEMALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2021-11,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-11,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,1
2021-11,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2021-11,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,1,1
2021-12,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2021-12,LATINO,MALE,,CITATION/SUMMONS,1,0,0,0,0,3
2021-12,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,2
2021-12,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-01,LATINO,MALE,UNKNOWN,WARNING ISSUED,0,0,0,0,0,1
2022-01,LATINO,MALE,,CITATION/SUMMONS,0,0,1,0,0,0
2022-01,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,1
2022-01,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-02,BLACK,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-02,BLACK,MALE,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-02,BLACK,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-02,LATINO,MALE,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-02,LATINO,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-02,UNKNOWN,MALE,UNKNOWN,WARNING ISSUED,0,0,0,0,0,2
2022-02,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,2
2022-02,WHITE,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,1
2022-02,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-03,BLACK,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-03,BLACK,MALE,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,3
2022-03,BLACK,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,0,3
2022-03,LATINO,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,1
2022-03,LATINO,MALE,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2022-03,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-03,UNKNOWN,MALE,UNKNOWN,WARNING ISSUED,0,0,0,0,0,1
2022-03,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,1
2022-04,BLACK,FEMALE,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-04,BLACK,FEMALE,,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-04,BLACK,MALE,UNKNOWN,CITATION/SUMMONS,1,0,0,0,0,0
2022-04,BLACK,MALE,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-04,BLACK,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2022-04,BLACK,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,1
2022-04,LATINO,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2022-04,UNKNOWN,MALE,UNKNOWN,WARNING ISSUED,0,0,0,0,0,1
2022-04,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,1
2022-04,WHITE,FEMALE,,CITATION/SUMMONS,1,0,0,0,0,0
2022-05,LATINO,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,2
2022-05,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2022-05,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,BLACK,MALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,BLACK,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2022-06,LATINO,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,WARNING ISSUED,0,0,0,0,0,1
2022-06,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,1,0,0
2022-06,LATINO,MALE,,CITATION/SUMMONS,0,0,0,1,0,1
2022-06,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,1
2022-06,UNKNOWN,FEMALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,UNKNOWN,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,UNKNOWN,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2022-06,WHITE,FEMALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,WHITE,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-06,WHITE,MALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2022-06,WHITE,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,0,1
2022-07,BLACK,MALE,OUT OF STATE RESIDENT,WARNING ISSUED,0,0,2,0,0,0
2022-07,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,1,0,0,0
2022-07,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,NO ENFORCEMENT ACTION,1,0,0,0,0,0
2022-07,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,5
2022-07,UNKNOWN,MALE,OUT OF STATE RESIDENT,WARNING ISSUED,0,0,0,0,0,2
2022-08,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-08,INDIGENOUS,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,2,0,0,2
2022-08,LATINO,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,0,0,0,2
2022-08,LATINO,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,WARNING ISSUED,0,0,0,0,0,2
2022-08,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,2,0,0,0
2022-08,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,0,2,2,2
2022-08,LATINO,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,1
2022-08,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2022-08,WHITE,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,2
2022-09,BLACK,FEMALE,OUT OF STATE RESIDENT,NO ENFORCEMENT ACTION,1,0,0,0,0,0
2022-09,BLACK,MALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-09,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,3
2022-09,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,0,2,0,0
2022-09,UNKNOWN,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,2
2022-09,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-10,ASIAN/PACIFIC ISLANDER,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-10,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-10,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,0,0,0,1
2022-10,LATINO,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,1,0,0,0,0,0
2022-10,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,1,0,0,2
2022-10,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,0,0,0,1
2022-10,UNKNOWN,FEMALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-10,UNKNOWN,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-10,UNKNOWN,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-10,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,BLACK,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,BLACK,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,WARNING ISSUED,0,0,0,0,0,1
2022-11,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,LATINO,FEMALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,1,0,0,0
2022-11,LATINO,FEMALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,LATINO,MALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,NO ENFORCEMENT ACTION,0,0,0,0,2,0
2022-11,LATINO,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,WHITE,FEMALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,1,0,0,0,0,0
2022-11,WHITE,FEMALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-11,WHITE,MALE,OUT OF STATE RESIDENT,WARNING ISSUED,0,0,0,0,0,1
2022-12,BLACK,FEMALE,OUT OF STATE RESIDENT,WARNING ISSUED,0,0,0,0,0,1
2022-12,BLACK,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,0,1,0,0
2022-12,BLACK,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2022-12,LATINO,MALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,1,0,0,1
2022-12,LATINO,MALE,OUT OF STATE RESIDENT,NO ENFORCEMENT ACTION,1,0,0,0,1,0
2022-12,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,1,0,0,1
2022-12,UNKNOWN,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2022-12,WHITE,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2022-12,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,1,0
2022-12,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,NO ENFORCEMENT ACTION,0,0,0,0,2,0
2023-04,ASIAN/PACIFIC ISLANDER,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,1,0,0,0,0
2023-04,BLACK,FEMALE,OUT OF STATE RESIDENT,WARNING ISSUED,0,0,0,0,0,1
2023-04,BLACK,FEMALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2023-04,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,0,0,0,1
2023-04,LATINO,MALE,OTHER VIRGINIA JURISDICTION RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2023-04,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,7
2023-04,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,2
2023-05,BLACK,MALE,RESIDENT OF CITY/COUNTY OF STOP,WARNING ISSUED,0,0,0,0,0,1
2023-05,WHITE,MALE,UNKNOWN,CITATION/SUMMONS,1,0,0,0,0,0
2023-06,BLACK,FEMALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,1,0
2023-06,BLACK,MALE,OUT OF STATE RESIDENT,CITATION/SUMMONS,0,0,0,0,0,1
2023-06,LATINO,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,0,1
2023-06,LATINO,MALE,UNKNOWN,CITATION/SUMMONS,0,0,0,0,1,0
2023-06,WHITE,FEMALE,UNKNOWN,CITATION/SUMMONS,1,0,0,0,0,0
2023-06,WHITE,MALE,OUT OF STATE RESIDENT,WARNING ISSUED,0,0,0,0,0,1
2023-06,WHITE,MALE,RESIDENT OF CITY/COUNTY OF STOP,CITATION/SUMMONS,0,0,0,0,1,3
